2022-04-19 10:05:16 install libmount1:arm64 <none> 2.37.2-4ubuntu3
2022-04-19 10:05:16 status half-installed libmount1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:16 status unpacked libmount1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:16 install libncurses6:arm64 <none> 6.3-2
2022-04-19 10:05:16 status half-installed libncurses6:arm64 6.3-2
2022-04-19 10:05:16 status unpacked libncurses6:arm64 6.3-2
2022-04-19 10:05:16 install libncursesw6:arm64 <none> 6.3-2
2022-04-19 10:05:16 status half-installed libncursesw6:arm64 6.3-2
2022-04-19 10:05:16 status unpacked libncursesw6:arm64 6.3-2
2022-04-19 10:05:16 install libnsl2:arm64 <none> 1.3.0-2build2
2022-04-19 10:05:16 status half-installed libnsl2:arm64 1.3.0-2build2
2022-04-19 10:05:16 status unpacked libnsl2:arm64 1.3.0-2build2
2022-04-19 10:05:16 install libpam-modules:arm64 <none> 1.4.0-11ubuntu2
2022-04-19 10:05:16 status half-installed libpam-modules:arm64 1.4.0-11ubuntu2
2022-04-19 10:05:17 status unpacked libpam-modules:arm64 1.4.0-11ubuntu2
2022-04-19 10:05:17 install libpam-modules-bin:arm64 <none> 1.4.0-11ubuntu2
2022-04-19 10:05:17 status half-installed libpam-modules-bin:arm64 1.4.0-11ubuntu2
2022-04-19 10:05:17 status unpacked libpam-modules-bin:arm64 1.4.0-11ubuntu2
2022-04-19 10:05:17 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2022-04-19 10:05:17 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2022-04-19 10:05:17 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2022-04-19 10:05:17 install libpam0g:arm64 <none> 1.4.0-11ubuntu2
2022-04-19 10:05:17 status half-installed libpam0g:arm64 1.4.0-11ubuntu2
2022-04-19 10:05:17 status unpacked libpam0g:arm64 1.4.0-11ubuntu2
2022-04-19 10:05:17 install libpcre2-8-0:arm64 <none> 10.39-3build1
2022-04-19 10:05:17 status half-installed libpcre2-8-0:arm64 10.39-3build1
2022-04-19 10:05:17 status unpacked libpcre2-8-0:arm64 10.39-3build1
2022-04-19 10:05:17 install libpcre3:arm64 <none> 2:8.39-13build5
2022-04-19 10:05:17 status half-installed libpcre3:arm64 2:8.39-13build5
2022-04-19 10:05:17 status unpacked libpcre3:arm64 2:8.39-13build5
2022-04-19 10:05:17 install libprocps8:arm64 <none> 2:3.3.17-6ubuntu2
2022-04-19 10:05:17 status half-installed libprocps8:arm64 2:3.3.17-6ubuntu2
2022-04-19 10:05:17 status unpacked libprocps8:arm64 2:3.3.17-6ubuntu2
2022-04-19 10:05:17 install libselinux1:arm64 <none> 3.3-1build2
2022-04-19 10:05:17 status half-installed libselinux1:arm64 3.3-1build2
2022-04-19 10:05:17 status unpacked libselinux1:arm64 3.3-1build2
2022-04-19 10:05:17 install libsemanage-common:all <none> 3.3-1build2
2022-04-19 10:05:17 status half-installed libsemanage-common:all 3.3-1build2
2022-04-19 10:05:17 status unpacked libsemanage-common:all 3.3-1build2
2022-04-19 10:05:17 install libsemanage2:arm64 <none> 3.3-1build2
2022-04-19 10:05:17 status half-installed libsemanage2:arm64 3.3-1build2
2022-04-19 10:05:17 status unpacked libsemanage2:arm64 3.3-1build2
2022-04-19 10:05:17 install libsepol2:arm64 <none> 3.3-1build1
2022-04-19 10:05:17 status half-installed libsepol2:arm64 3.3-1build1
2022-04-19 10:05:17 status unpacked libsepol2:arm64 3.3-1build1
2022-04-19 10:05:17 install libsmartcols1:arm64 <none> 2.37.2-4ubuntu3
2022-04-19 10:05:17 status half-installed libsmartcols1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:17 status unpacked libsmartcols1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:17 install libss2:arm64 <none> 1.46.5-2ubuntu1
2022-04-19 10:05:17 status half-installed libss2:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:17 status unpacked libss2:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:17 install libssl3:arm64 <none> 3.0.2-0ubuntu1
2022-04-19 10:05:17 status half-installed libssl3:arm64 3.0.2-0ubuntu1
2022-04-19 10:05:17 status unpacked libssl3:arm64 3.0.2-0ubuntu1
2022-04-19 10:05:17 install libsystemd0:arm64 <none> 249.11-0ubuntu3
2022-04-19 10:05:17 status half-installed libsystemd0:arm64 249.11-0ubuntu3
2022-04-19 10:05:17 status unpacked libsystemd0:arm64 249.11-0ubuntu3
2022-04-19 10:05:17 install libtinfo6:arm64 <none> 6.3-2
2022-04-19 10:05:17 status half-installed libtinfo6:arm64 6.3-2
2022-04-19 10:05:17 status unpacked libtinfo6:arm64 6.3-2
2022-04-19 10:05:17 install libtirpc-common:all <none> 1.3.2-2build1
2022-04-19 10:05:17 status half-installed libtirpc-common:all 1.3.2-2build1
2022-04-19 10:05:17 status unpacked libtirpc-common:all 1.3.2-2build1
2022-04-19 10:05:17 install libtirpc3:arm64 <none> 1.3.2-2build1
2022-04-19 10:05:17 status half-installed libtirpc3:arm64 1.3.2-2build1
2022-04-19 10:05:17 status unpacked libtirpc3:arm64 1.3.2-2build1
2022-04-19 10:05:17 install libudev1:arm64 <none> 249.11-0ubuntu3
2022-04-19 10:05:17 status half-installed libudev1:arm64 249.11-0ubuntu3
2022-04-19 10:05:17 status unpacked libudev1:arm64 249.11-0ubuntu3
2022-04-19 10:05:17 install libuuid1:arm64 <none> 2.37.2-4ubuntu3
2022-04-19 10:05:17 status half-installed libuuid1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:18 status unpacked libuuid1:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:18 install libzstd1:arm64 <none> 1.4.8+dfsg-3build1
2022-04-19 10:05:18 status half-installed libzstd1:arm64 1.4.8+dfsg-3build1
2022-04-19 10:05:18 status unpacked libzstd1:arm64 1.4.8+dfsg-3build1
2022-04-19 10:05:18 install login:arm64 <none> 1:4.8.1-2ubuntu2
2022-04-19 10:05:18 status half-installed login:arm64 1:4.8.1-2ubuntu2
2022-04-19 10:05:18 status unpacked login:arm64 1:4.8.1-2ubuntu2
2022-04-19 10:05:18 install logsave:arm64 <none> 1.46.5-2ubuntu1
2022-04-19 10:05:18 status half-installed logsave:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:18 status unpacked logsave:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:18 install lsb-base:all <none> 11.1.0ubuntu4
2022-04-19 10:05:18 status half-installed lsb-base:all 11.1.0ubuntu4
2022-04-19 10:05:18 status unpacked lsb-base:all 11.1.0ubuntu4
2022-04-19 10:05:18 upgrade mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2022-04-19 10:05:18 status half-configured mawk:arm64 1.3.4.20200120-3
2022-04-19 10:05:18 status unpacked mawk:arm64 1.3.4.20200120-3
2022-04-19 10:05:18 status half-installed mawk:arm64 1.3.4.20200120-3
2022-04-19 10:05:18 status unpacked mawk:arm64 1.3.4.20200120-3
2022-04-19 10:05:18 install mount:arm64 <none> 2.37.2-4ubuntu3
2022-04-19 10:05:18 status half-installed mount:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:18 status unpacked mount:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:18 install ncurses-base:all <none> 6.3-2
2022-04-19 10:05:18 status half-installed ncurses-base:all 6.3-2
2022-04-19 10:05:18 status unpacked ncurses-base:all 6.3-2
2022-04-19 10:05:18 install ncurses-bin:arm64 <none> 6.3-2
